"key";"en"
"plugin_pm";"Process Manager"
"plugin_pm_processes";"Processes"
"plugin_pm_monitoring_items";"Process Log"
"plugin_pm_permission_configure";"Process Manager - Configure"
"plugin_pm_permission_delete_monitoring_item";"Process Manager - Delete monitoring item"
"plugin_pm_permission_execute";"Process Manager - Execute"
"plugin_pm_permission_view";"Process Manager - View"
"plugin_pm_permission_execute_button";"Execute"
"plugin_pm_auto_refresh";"Auto refresh every"
"plugin_pm_auto_refresh_seconds";"seconds"
"plugin_pm_monitor_creationDate";"Started"
"plugin_pm_monitor_modificationDate";"Last update"
"plugin_pm_monitor_duration";"Duration"
"plugin_pm_button_add_cliCommand";"Add CLI Command"
"plugin_pm_button_edit_cliCommand";"Edit CLI Command"
"plugin_pm_button_add_pimcoreCommand";"Add Pimcore Command"
"plugin_pm_button_edit_pimcoreCommand";"Edit Pimcore Command"
"plugin_pm_button_add_classMethod";"Add Class Method Executor"
"plugin_pm_button_edit_classMethod";"Edit Class Method Executor"
"plugin_pm_save_config_button";"Save configuration"
"plugin_pm_config_saved_success";"The configuration has been successfully added"
"plugin_pm_config_saved_error";"Can't save the configuration"
"plugin_pm_delete_text";"Are you sure that you want to delete the configuration"
"plugin_pm_delete_confirm";"Yes, delete this configuration and all monitoring items"
"plugin_pm_delete_headline";"Delete configuration"
"plugin_pm_config_execution_success";"The process has been started"
"plugin_pm_config_execution_error";"Error when starting process"
"plugin_pm_log";"Log"
"plugin_pm_log_info";"Detailed Log information"
"plugin_pm_retry";"Retry"
"plugin_pm_executor_config";"Settings"
"plugin_pm_executor_actions";"Actions"
"plugin_pm_download";"Download"
"plugin_pm_accessKey";"Access Key"
"plugin_pm_download_filepath";"File path"
"plugin_pm_callback_title";"Execution settings"
"plugin_pm_callback_settings";"Predefined execution Settings"
"plugin_pm_cronjob_expression_generator";"Cronjob expression generator"
"plugin_pm_clear_monitoring_items";"Clear monitoring items"
"plugin_pm_log_levels";"States"
"plugin_pm_delete_monitoring_item_button";"Delete monitoring items"
"plugin_pm_error_process_manager";"ProcessManager error"
"plugin_pm_clear_monitoring_items_success";"The monitoring items have been deleted"
"plugin_pm_button_add_exportToolkit";"Export toolkit"
"plugin_pm_button_edit_exportToolkit";"Export toolkit Command"
"plugin_pm_callback_settings_save";"Save settings"
"plugin_pm_config_callback_save_success";"The settings have successfully been saved"
"plugin_pm_config_callback_save_error";"Can't save settings"
"plugin_pm_button_add_executionNote";"Execution note"
"plugin_pm_field_set_general";"General settings"
"plugin_pm_field_set_configuration";"Configuration"
"plugin_pm_delete_confirm_callback_setting";"Yes, delete"
"plugin_pm_predefined_callback_settings";"Predefined config"
"plugin_pm_predefined_callback_settings_apply";"Apply"
"plugin_pm_copy";"Copy"
"plugin_pm_locale";"Locale"
"plugin_pm_cronjob";"Cronjob"
"plugin_pm_group";"Group"
"plugin_pm_command";"Command"
"plugin_pm_message";"Message"
"plugin_pm_name";"Name"
"plugin_pm_description";"Description"
"plugin_pm_executor_pimcoreCommand";"Pimcore Command"
"plugin_pm_executorClass";"Class"
"plugin_pm_executorMethod";"Method"
"plugin_pm_executor_classMethod";"Class Method Executor"
"plugin_pm_executor_cliCommand";"CLI Command"
"plugin_pm_commandOptions";"Command options"
"plugin_pm_uniqueExecution";"Unique execution"
"plugin_pm_callback";"Callback"
"plugin_pm_executionNote";"Execution note"
"plugin_pm_executedByUser";"Executed by user"
"plugin_pm_keepVersions";"Keep monitoring item versions"
"plugin_pm_deleteAfterHours";"Delete monitring item after hours"
"plugin_pm_executor_exportToolkit";"Export toolkit"
"plugin_pm_note";"Note"
"plugin_pm_settings_catalog";"Catalog settings"
"plugin_pm_settings_general";"General settings"
"plugin_pm_settings_supplier";"Supplier"
"plugin_pm_groupNameGetter";"Group field getter"
"plugin_pm_getter_headline";"Headline"
"plugin_pm_getter_subHeadline";"Sub headline"
"plugin_pm_phing_release_type_bugfix";"Bugfix"
"plugin_pm_phing_release_type_minor";"Minor"
"plugin_pm_phing_release_type_major";"Major"
"plugin_pm_button_add_phing";"Phing deployment"
"plugin_pm_executor_phing";"Phing deployment"
"plugin_pm_button_edit_phing";"Phing deployment"
"plugin_pm_phing";"Phing settings"
"plugin_pm_settings_phing_local";"Local settings"
"plugin_pm_localReleaseType";"Release type"
"plugin_pm_localBuildMessage";"Tag message"
"plugin_pm_localAttaskLink";"Attask link"
"plugin_pm_localDoRemoteInstallation";"Do remote installation"
"plugin_pm_settings_phing_remote";"Remote settings"
"plugin_pm_remoteSkipDbBackup";"Skip Db backup"
"plugin_pm_action_download_delete_with_monitoring_item";"Delete with monitoring item"
"plugin_pm_executor_loggers";"Loggers"
"plugin_pm_logger_file";"File"
"plugin_pm_logLevel";"Log level"
"plugin_pm_logger_console";"Console"
"plugin_pm_logger_application";"Application"
"plugin_pm_component";"Component"
"plugin_pm_logger_component";"Component"
"plugin_pm_simpleLogFormat";"Simple log format"
"plugin_pm_monitoring_item_detail_window";"Monitoring item detail information"
"plugin_pm_logger_data";"Logger data"
"plugin_pm_logger_actions";"Action data"
"plugin_pm_monitor_reportedDate";"Reported on"
"plugin_pm_restrictToRoles";"Restrict to roles"
"plugin_pm_role_admin";"Admin"
"plugin_pm_error_form_fields";"Please provide a value for the following fields:"
"plugin_pm_error_form_validation";"Form validation error"
"plugin_pm_permission_execute_column_name";"Execute"
"plugin_pm_property_selector_source_property";"Source properties"
"plugin_pm_property_selector_target_property";"Selected properties"
"plugin_pm_property_selector_propertyname";"Property name"
"plugin_pm_properties";"Properties"
"plugin_pm_example";"Example callback"
"plugin_pm_myTextArea";"My Textarea"
"plugin_pm_myTextField";"My Textfield"
"plugin_pm_mySelectField";"My Selectfield"
"plugin_pm_myTooltip";"Just an example tooltip"
"plugin_pm_example_select_1";"Select value 1"
"plugin_pm_example_select_2";"Select value 2"
"plugin_pm_myNumber";"My Number"
"plugin_pm_myDate";"My Date"
"plugin_pm_myRole";"My Role"
"plugin_pm_myLocale";"My Locale"
"plugin_pm_myCheckbox";"My Checkbox"
"plugin_pm_myItems";"Item selector"
"plugin_pm_myProperties";"Properties selector"
"plugin_pm_myHref";"My href"
"plugin_pm_maxFileSizeMB";"Max file Size (MB)"
"plugin_pm_filepath";"File path"
"plugin_pm_hideMonitoringItem";"Hide monitoring items"
"plugin_pm_show_hidden_monitoring_items";"Show hidden monitoring items"
"plugin_pm_metaData";"Meta data"
"plugin_pm_defaultPreDefinedConfig";"Default callback settings"
"plugin_pm_logger_emailSummary";"E-Mail"
"plugin_pm_to";"To"
"plugin_pm_to_tooltip";"Seperate multiple email addresses with &quot;;&quot;"
"plugin_pm_subject";"Subject"
"plugin_pm_text";"Text"
"plugin_pm_details";"Details"
"plugin_pm_process_list_title";"Background processes"
"plugin_pm_process_list_set_unpublished";"Done, hide process"
"plugin_pm_label";"Label"
"plugin_pm_download_file_doesnt_exist";"File doesn't exist"